		概要			ソフトウェア	トラッキング				入力	基礎能力		レンズ		ビジュアル			オーディオ			価格\n※込み込み		参考情報		
ConceptD OJO	virtual winmr pc head6DoF bothhands6DoF 	/images/headsets/ConceptD%20OJO.jpg	PC	Acer がオシャレで高性能なクリエイター向け製品を販売する ConceptD シリーズで発表したヘッドセット。まだほとんどの詳細は発表されていないが、前機種や、同世代の他メーカーのものと比べても最高レベルの解像度を持っている。ConceptD シリーズの他製品を見ると GTX 2080 搭載のノートブックがあったりするので、OJO もとにかく最高のものを出すスタイルで攻める事が推測できる。恐らく能力的な直接の商売敵は HP Reverb。	Windows Store	?	?	?	筆者未体験	?	-	-	可変（範囲不明）	-	?	4320 × 2160 @ ??fps	?	オープンイヤー型	?	?	?	?	link:ConceptD,https://www.acer.com/ac/en/US/content/conceptd-home	link:Road To VR さんの記事,https://www.roadtovr.com/acer-conceptd-ojo-headset-announcement/	link:,
OJO 500	virtual winmr steam pc head6DoF bothhands6DoF	/images/headsets/OJO%20500.jpg	PC	Windows MR ヘッドセットを最初に出した Acer の第2世代。ちゃんと名前も付き、見た目も良くなり、ヘッドフォンも付き、選べるストラップ、脱着可能なレンズ部分、IPD 調節ノブなどようやく本気を出してきた感のある製品。やはり前作は Done is better than perfect. が頭をよぎる様子見製品だった…まあ新作を出したということは、投資することに決めたと取れる良いニュースでもある。商業採用の場合はフロントカバーに任意のロゴを載せる事が出来たり、レンズ部分のモジュラー設計から考えても、かなり業務用途を狙って来ている感がある。あと今回は最初からコントローラーが付属している。音声を伝達するパイプ（構造？）が特許取得済みらしく、どんな感じになるのかはちょっと気になる。	Windows Store\nSteamVR	6DoF	両手6DoF	Inside-Out のため制限なし	筆者未体験	ハンドコントローラー（6DoF）\nXbox One Controller（別売）	PC依存	-	固定（本体下部のノブでソフトウェア IPD を 54 - 69 mm で調整可能）	-	32.20px	2880 x 1440 @ 90fps	100度	ステレオスピーカー内蔵	マイクアレイ内蔵	ステレオミニ	$399	?	link:発表記事,https://www.acer.com/ac/ja/JP/press/2018/427896	link:公式サイト,https://acerjapan.com/virtualmixedreality/wmr/ah501/AH501	
Fujitsu Headset	virtual winmr steam pc head6DoF bothhands6DoF	/images/headsets/Fujitsu%20Headset.jpg	PC	装着感が良い。国内メーカーだけあり、平らな顔族のことをわかっている感じ。若干青みがかっている気がする。そんなにスイートスポットも狭くないが、網目感はどうしても拭えない。装着機構が Acer Development Edition と一緒。	Windows Store\nSteamVR	6DoF	両手6DoF	Inside-Out のため制限なし	◎	ハンドコントローラー（6DoF）\nXbox One Controller（別売）	PC依存	-	固定（幅不明） （ソフトウェアで 59 - 67mm）	-	32.20px	2880 x 1440 @ 60 / 90fps	100度	-	-	ステレオミニ	-	¥57,024	link:直販サイト,http://www.fujitsu-webmart.com/pc/ui054?WEB_STYLE=FMVHDS1		
Acer Headset	virtual winmr steam pc head6DoF bothhands6DoF	/images/headsets/Acer%20Headset.jpg	PC	Windows MR 用の開発キットを真っ先に発売した Acer のヘッドセット。 開発キットを買った人はコントローラーが付属しないが、Dell が単品売りしているのを買えば実は使える。 作りはチープだが、案外軽さが良い。若干青みがかった画面に見えるが、諧調表現は悪くないように思える。	Windows Store\nSteamVR	6DoF	両手6DoF	Inside-Out のため制限なし	◎	ハンドコントローラー（6DoF）\nXbox One Controller（別売）	PC依存	-	63mm 固定 （ソフトウェアで 59 - 67mm）	-	33.89px	2880 x 1440 @ 60 / 90fps	95度	-	-	ステレオミニ	$399	¥52,596	link:公式サイト,https://www.acer.com/ns/ja/JP/smart/ah101/		
Dell Visor	virtual winmr steam pc head6DoF bothhands6DoF	/images/headsets/Dell%20Visor.jpg	PC	Windows MR で唯一の白いヘッドセット。若干暗く、上の諧調が若干飛んでいる。装着感は良好。 コントローラーのみの販売もしており、Acer の開発キットを買った筆者のような人にとってはありがたい存在。	Windows Store\nSteamVR	6DoF	両手6DoF	Inside-Out のため制限なし	◎	ハンドコントローラー（6DoF）\nXbox One Controller（別売）	PC依存	-	固定（幅不明） （ソフトウェアで 59 - 67mm）	-	29.27px	2880 x 1440 @ 60 / 90fps	110度	-	-	ステレオミニ	$499	¥63,180	link:公式サイト,https://www.dell.com/ja-jp/shop/dell-visorとコントローラ/apd/545-bbbh/ゲーム-ゲーム用アクセサリ		
HP Headset	virtual winmr steam pc head6DoF bothhands6DoF	/images/headsets/HP%20Headset.jpg	PC	世界でPCシェアトップを争う HP のヘッドセット。ロボコップ感がすごい。WinMR の中では平均的な能力。（WinMR を並べて見比べた結果ですが、正直なところ Odyssey 以外は横並びな感）	Windows Store\nSteamVR	6DoF	両手6DoF	Inside-Out のため制限なし	◎	ハンドコントローラー（6DoF）\nXbox One Controller（別売）	PC依存	-	固定（幅不明） （ソフトウェアで 59 - 67mm）	-	32.20px	2880 x 1440 @ 60 / 90fps	100度	-	-	ステレオミニ	$499	¥64,584	link:公式サイト,http://jp.ext.hp.com/accessories/personal/mixed_reality_headset/		
Lenovo Explorer	virtual winmr steam pc head6DoF bothhands6DoF	/images/headsets/Lenovo%20Explorer.png	PC	最近 VR、AR、MR ヘッドセットを全部出してるポジションを突然確立した Lenovo による WinMR ヘッドセット。 装着感が軽くて良い。	Windows Store\nSteamVR	6DoF	両手6DoF	Inside-Out のため制限なし	◎	ハンドコントローラー（6DoF）\nXbox One Controller（別売）	PC依存	-	固定（幅不明） （ソフトウェアで 59 - 67mm）	-	29.27px	2880 x 1440 @ 60 / 90fps	110度	-	-	ステレオミニ	$449.99	¥39,560	link:公式サイト,https://www.lenovo.com/jp/ja/vr-smartdevices/augmented-reality/lenovo-explorer/Lenovo-Explorer/p/G10NREAG0A2		
GFL Developer Kit	virtual steam pc mobile standalone head6DoF bothhands6DoF	/images/headsets/GFL%20DK.png	PC、スタンドアロン両用	SteamVR とスタンドアロン動作に両対応する異色のヘッドセット。どちらのモードでも、Lighthouse による 6DoF トラッキングをサポートする。まだ仕様的には不明な部分も多いが、公式写真では Vive のコントローラーっぽいものを使っているため、パーツの安定性は心配なさそうである。 声高に宣伝されている NVIDIA Jetson TX2 とは、機械学習に比重を置いた NVIDIA のシステム基盤である。GPU が強化されていることから、VR でも良いパフォーマンスが出るのかもしれない。	Android スタンドアロン\nSteamVR\nGameFace Labs の独自プラットフォーム	6DoF（Lighthouse）	両手6DoF	恐らく Vive と同等 最大3.5m四方 （実際頑張れば5m四方も）	筆者未体験	ハンドコントローラー（6DoF）	NVIDIA Jetson TX2 2 Denver 64-bit CPUs + Quad-Core A57 Complex	32GB	?	?	?	2560 × 1440	?	?	?	?	$599	?	link:公式サイト,https://devs.gamefacelabs.com/product/nvidia-tx2-devkit-android/		
Pimax 2.5K（Pimax 4K Pro）	virtual steam pc head3DoF	/images/headsets/PIMAX%202.5K.png	PC	Pimax による有機ELヘッドセット。Pimax 4K で大きな問題になっていた、諧調再現能力が低く、輝度が足りず、レスポンスが悪いため残像まみれになるという問題がすべて解決している。端の僅かな領域にレンズゆがみがあるが気づかれない程度。微妙にレンズのピントがパネルに合わないということもなくなっている。コントラストが非常に高く、はっきりした印象が得られる。実写コンテンツで「あ、ここ良いところだなあ」という感想が初めて出たヘッドセット。黒は潰れ気味だが多くの場合は問題なさそう。 エンタープライズ版の位置づけ。	PiHome\nSteamVR\nOculus（多分 Revive を使えという意味）	3DoF	なし	3DoFのためエリアなし	○	入力機能なし	PC依存	-	58 - 71mm（ソフトウェア調整）	-	40.05px	3840 × 2160 @ 多分事実上の60fps	110度	ヘッドフォン付属	-	モノラルミニ × 2	?	?	link:直販サイト（リンク切れ）,https://www.pimaxvr.com/en/product/pimax-2-5k/		
Pico Neo	virtual pico mobile standalone head6DoF onehand6DoF	/images/headsets/Pico%20Neo.png	スタンドアロン	中国のヘッドセットメーカー Pico によるスタンドアロン。外部センサーなしで頭も手も（片手ではあるが）ポジトラができるという夢のポジションを一番最初にゲットする機材。超音波を使用したポジショントラッキングを行う、VR ヘッドセットとしては珍しい機器でもある。Viveport に対応しているのでコンテンツも充実が予想される。	Vive Wave\nViveport	6DoF	片手6DoF	Inside-Out のため制限なし	△	ハンドコントローラー（6DoF）\nポジトラに超音波（ultra-sonics）を使用しているらしい。	Snapdragon 835	内臓ストレージ容量不明\n128GBまでの SD カードをサポート	?	-	32.62px	2880 × 1600 @ 90fps	101度	ステレオスピーカー内臓	?	?	消費者版: 3,999中国元\nビジネス版: 5,299中国元	-	link:公式サイト,http://jp.picovr.com/pico_neo.html		
Daydream View	virtual daydream mobile smartphone head3DoF onehand3DoF	/images/headsets/Daydream.jpg	スマホ（高）	Google による VR プラットフォーム Daydream 端末用のヘッドセット。ゴムで端末を挟むだけという簡易な作り。本命はソフトウェアである。ファブリックな素材でできており、触るとふわふわと柔らかい。カラーバリエーションがあるため、一般受けを狙っていると思われる。手触り重要。	Daydream	3DoF	片手3DoF	3DoFのためエリアなし	Pixel 2 で試した際は Gear VR と遜色ない良いトラッキングでした。	ハンドコントローラー（3DoF）	スマートフォン依存	-	?	-	スマートフォン依存	スマートフォン依存	100度	-	スマートフォンにマイクあり	大抵のスマートフォンにヘッドフォン端子あり	$99	¥12,000	link:公式サイト,https://vr.google.com/intl/ja_jp/daydream/smartphonevr/		
Oculus Go	virtual oculus mobile standalone head3DoF onehand3DoF	/images/headsets/Oculus%20Go.jpg	スタンドアロン	Oculus による スタンドアロン。若干リークはあったものの、Santa Cruz か？と思っていたら若干不意打ち気味に発表された。型落ちのハイエンドチップセット（Galaxy S7 相当）を採用し、ポジトラやカメラを削ることで非常な低価格を実現している。一般のゲームコンソールより安いという意味で、本格普及を狙える初の価格帯。コンテンツは（ハード的に足りれば） Gear VR のものをそのまま使えるため、買ってすぐ遊びまくれる。耳元に音が伝わってくる仕組みのためイヤホンも不要。 Fixed Forveated Rendering により自然な形で描画負荷を下げ、60に加えて72fpsでの描画に対応している。これは、24fpsの動画コンテンツも補正なく表示できるという意味である。また、発色も改善するらしい。	Oculus Mobile	3DoF	片手3DoF	3DoFのためエリアなし	○	ハンドコントローラー（3DoF）	Snapdragon 821	32GB, 64GB	63.5mm	別売りの度付きレンズ	26.70px	2560 × 1440 @ 60fps / 72fps	110度	ステレオスピーカー内臓	マイク内蔵	ステレオミニ	32GB: $199\n64GB: $249	32GB: ¥23,800\n64GB: ¥29,800	link:公式サイト,https://www.oculus.com/go/		
Gear VR	virtual oculus mobile smartphone head3DoF onehand3DoF	/images/headsets/Gear%20VR.jpg	スマホ（高）	Samsung と Oculus の共同開発による、ミドルレンジのヘッドセット。Samsung Galaxy シリーズをセットして使用する。VR ヘッドセットが雨後の筍のように出始める前から非常に高精度なトラッキングができた。最初の数年はスマートフォン側の処理能力が足りず、加熱で10分で止まってしまうということもザラであったが S7 や S8 が出てきて収束しつつある。スマホのオマケに付いてくる商法も取られ、ミドルレンジの中では圧倒的シェアを誇っているらしい。	Oculus Mobile	3DoF	片手3DoF	3DoFのためエリアなし	○	ハンドコントローラー（3DoF）	スマートフォン依存	スマートフォン依存	62mm固定	あり	スマートフォン依存	スマートフォン依存	101度	スマートフォンにスピーカー内蔵	スマートフォンにマイク内蔵	スマートフォンにヘッドフォン端子あり	$129.99	¥16,070	link:Oculus の公式サイト,https://www.oculus.com/gear-vr/	link:Samsung の公式サイト,https://www.galaxymobile.jp/gear-vr/	
Pico G2 4K	virtual pico standalone head6DoF onehand3DoF 	/images/headsets/Pico%20G2%204K.jpg	スタンドアロン	Pico G2 の 4K バージョン。業務向けを強くアピールしており、キオスクモード、視線による操作、衛生的なデザイン（フェイスクッションが容易に交換できる）といった点を推している。解像度が上がった分、フレームレートが 75fps に落ちているが、視野角の割にかなりの高解像度であり、スタンドアロンでは類を見ない精彩さを期待できる。	Pico Store\nViveport	3DoF	片手3DoF	3DoFのためエリアなし	筆者未体験	視線入力\nハンドコントローラー（3DoF）	Snapdragon 835	32GB\n256GBまでの microSD をサポート	?	-	43.91px	3840 × 2160 @ 75fps	101度	?	?	ステレオミニ	?	?	link:公式サイト,https://www.pico-interactive.com/g2-4k		
Pico G2	virtual pico mobile standalone head3DoF onehand3DoF	/images/headsets/Pico%20G2.jpg	スタンドアロン	Pico Goblin の後継となるヘッドセット。処理能力や視野角、ディスプレイが Pico Neo 同等に強化されており、共通の部品を使っている可能性もある。まだ（2018/8/4）情報が少なく、細かい仕様は不明。バッテリーはベルト後部に内蔵されており、本体の軽量さ（268g！）がアピールされている。重心も含めて改善されているものと考えられる。	Pico Store\nVIVEPORT	3DoF	片手3DoF	3DoFのためエリアなし	筆者未体験	ハンドコントローラー（3DoF）	Snapdragon 835	32GB\n256GBまでの microSD をサポート	?	-	32.62px	2880 × 1600 @ 90fps	101度	?	?	ステレオミニ	$299\n2,499中国元	¥53,460	link:直販サイト,https://detail.tmall.com/item.htm?spm=a220z.1000880.0.0.OJXUXr&id=573434404455&skuId=3756167281018		
Pico Goblin	virtual pico mobile standalone head3DoF onehand3DoF	/images/headsets/Pico%20Goblin.png	スタンドアロン	オレンジのプロトタイプ（処理部がコントローラー内にある）で注目を集めた、中国のヘッドセットメーカー Pico によるスタンドアロンヘッドセット。安価かつそこそこ高性能であり、コントローラーも割とちゃんと動くのでそれなりに楽しく遊べる。	Pico Digital Store	3DoF	片手3DoF	3DoFのためエリアなし	○	ハンドコントローラー（3DoF）	Snapdragon 820	16GB\n128GBまでの microSD をサポート	54 - 71mm	-	31.93px	2560 × 1440 @ 70fps	92度	モノラルスピーカー内臓	マイク内臓	ステレオミニ	$269	?	link:公式サイト,http://jp.picovr.com/pico_goblin.html		
IDEALENS K3	virtual mobile standalone head3DoF onehand3DoF	/images/headsets/IDEALENS%20K3.png	スタンドアロン	K2 の後継機。コントローラーが省かれ、耳元スピーカーが追加された。プロセッサも順当に性能アップ。でも相変わらずコスパは微妙。引き続きビジネスの方を向いてやっていくのかも。Leap Motion 内臓機種の K3-E、4Kで Exynos 8895 搭載の K3-P といったバリエーションも存在する。 耳元の革新的なスピーカーシステムで外部環境を感知することができるらしい？（衝突防止だろうか）	?	3DoF（Range Sensor という謎の表記あり）	片手3DoF（別売）	3DoFのためエリアなし（Range Sensor が何かによってはエリアを規定できる可能性があるが、情報なし）	筆者未体験	ハンドコントローラー（3DoF・別売）	Exynos 8890（Galaxy S7 くらい）	64GB\n128GBまでの microSD をサポート	デュアル物理調整&光学自己適応	-	24.48px	2560 × 1440 @ 90fps	120度	ステレオスピーカー内臓	マイク内臓	ステレオミニ	$499	?	link:公式サイト,http://www.idealens.com/en/k3summary		
IDEALENS K2+	virtual mobile standalone head3DoF onehand3DoF	/images/headsets/IDEALENS%20K2%2B.jpg	スタンドアロン	その独特な装着機構があまりに快適で一躍話題になったヘッドセット。3DoF だが、トラッキングもなかなか。Gear VR でオーバーヒートするものと同じチップセットが使われているものの、きちんと熱対策がされており1日稼働しても平気らしい。よくあるユースケース（動画再生など）用のアプリが用意されており、業務利用に強い。というか、少なくとも日本ではストアがオープンしておらず、プリインのゲーム1つと動画プレイヤー（microSDから再生可）が使えるだけなので完全に業務向けである。	VR Japanコンテンツ配信プラットフォーム（未オープン）	3DoF	片手3DoF（別売）	3DoFのためエリアなし	○	ハンドコントローラー（3DoF・別売）	Exynos 7420（Galaxy S6 くらい）	32GB\n128GBまでの microSD をサポート	60 - 64mm（ソフトウェア調整） 0.5mm 刻み	-	24.48px	2560 × 1440 @ 75fps	120度	-	-	ステレオミニ	?	¥86,400	link:公式サイト,http://www.idealens.com/en/k2plus_summary	link:国内代理店 VR Japan さん,https://www.vr-japan.co.jp/wp/product.html	
Dlodlo V1	virtual steam pc head3DoF	/images/headsets/Dlodlo%20V1.png	PC	サングラスサイズの VR 機器。もはやヘッドマウントディスプレイという呼称は似つかわしくない。OpenVR ベースであり、Steam にある VR コンテンツが原理上は動作する。わずか16mmの薄さの中にディスプレイと高視野角の光学系を詰め込んでおり、なかなか驚かされる。88g とそこそこ軽い。ポジショントラッキングやハンドコントローラーを持たないが、NOLO を追加することでこれらに対応する。 割と本体が熱を持つため、おでこや鼻が熱くなる意味では長時間駆動に向かない。あと NOLO は遅延がすごいのでなんというか実用には向かない。	SteamVR	3DoF\n6DoF（NOLO 追加時）	6DoF（NOLO 追加時使用可）	3DoFのためエリアなし NOLO 追加時はベースステーションの範囲	△	入力機能なし\nNOLO 追加時はハンドコントローラー（6DoF・別売）	PC依存	-	固定（数値不明）	あり	25.56px	2400 × 1200 @ 90fps	105度	-	-	-	$559（予定）	?	link:公式サイト,http://www.dlodlo.com/jp/v-one		
FOVE 0	virtual fove pc head6DoF	/images/headsets/FOVE%200.jpg	PC	視線追跡を特徴としている、日本のスタートアップによるヘッドセット。一時期かなり話題をさらった。ハードウェア開発よりは視線追跡の技術供与の方向にシフトしつつあるという話を風の噂で聞く。	SteamVR（予定）\nOSVR（予定）	6DoF	なし	?	○	視線追跡（1度以下の精度、120fps）	PC依存	-	?	?	29.37px	2560 × 1440 @ 70fps	100度	-	-	-	$599	ドル建てなので概算 ¥67,000	link:公式サイト,https://www.getfove.com/		
Pimax 4K	virtual steam pc head3DoF	/images/headsets/Pimax%204K.jpg	PC	VR ヘッドセットのスタートアップによる4Kヘッドセット。画素密度が高く、シンプルな構造のヘッドフォンも案外装着感や音が良い。ただ、パネル解像度は高いものの、トラッキング遅延は一昔前のスマホ並みであり、全体に暗くローが沈む、グレー1色なのにバンディングが出る、応答速度がモロに低いなど、解像度に全振りしてそれ以外はもうちょっとな感じである。レンズも微妙にピントを外しており、暗さも相まって若干眠い感じもある。とは言え、他のハイエンドと比べても圧倒的に高精細であり、スクリーンドアなんてものは存在しない。綺麗な動画をのんびり見るのに一番向いている。と思ったがよく見たらピクセルの配置による謎の縞模様が縦横に見えるため正直なところ…  有機ELモデルの PIMAX 2.5K はなかなか素晴らしい出来。（左のほうに載っています）	PiHome\nSteamVR	3DoF	なし	3DoFのためエリアなし	😱	入力機能なし	PC依存	-	58 - 71mm（ソフトウェア調整）	-	40.05px	3840 × 2160 @ 多分事実上の60fps	110度	ヘッドフォン付属	-	モノラルミニ × 2	$339	¥38,164（Amazon.co.jp 2018/1/9）	link:公式サイト（リンク切れ）,https://www.pimaxvr.com/en/4k/		
ThinkReality A6	augmented standalone 	/images/headsets/ThinkReality%20A6.png	スタンドアロン	Lenovo の法人向けブランド ThinkReality の製品として発表された AR ヘッドセット。ハンズフリーで操作でき、Snapdragon 845 搭載などモダンな仕様を備える。妥当 HoloLens の気概を感じるが、まだプレスリリースに書かれている以上の情報はなく、具体的な操作方法や価格、開発方法など詳細の公開が待たれる。	?	?	?	?	筆者未体験	?	Snapdragon 845	?	?	?	?	片目ごとに 1080p	40度	?	?	?	?	?	link:発表のプレスリリース,https://news.lenovo.com/pressroom/press-releases/lenovo-unveils-new-intelligent-devices-solutions-enterprise/	link:,	link:,
HoloLens 2	augmented winmr standalone head6DoF bothhands6DoF 	/images/headsets/HoloLens%202.jpg	スタンドアロン	視野角と画素密度が2倍以上になり、アイトラッキングや両手10本の指を認識できるハンドトラッキングを備えた超進化 HoloLens。虹彩認証によってログインすることすらできる。また、装着機構が一新されて快適性が向上し、本体のルックスも優しくなってきた。手ぶらで両手操作ができる価値は計り知れず、産業分野で強力な地位を築くものと思われる。月額125ドルで使用できるプランの存在も見逃せない部分である。	Windows Store	6DoF	両手6DoF	Inside-Out のため制限なし	筆者未体験	両手10本の指と手の位置を認識するジェスチャ\nアイトラッキング\n音声操作	・Snapdragon 850\n・Holographic Processing Unit（第2世代）	?	3次元眼球位置による自動最適化	-	47 px	MEMS ディスプレイ	HoloLens の2倍	ビルトイン空間オーディオ	5チャンネルマイクアレイ	?	買い切り: $3,500\nサブスク月額1人あたり: $125	?	link:公式サイト,https://www.microsoft.com/ja-jp/hololens/hardware	link:Mogura VR さんの記事,https://www.moguravr.com/hololens2-announce/	link:,
Magic Leap One	augmented standalone head6DoF onehand6DoF	/images/headsets/Magic%20Leap%20One.jpg	スタンドアロン	イカしたビデオをたまに出すだけの謎の会社だった Magic Leap から発表された初の製品。サイトがカッコいい、打倒 HoloLens っぽい。処理部を腰に引っ掛ける。分離することでヘッドセットを軽量化しているのだろうという感じ。 アイトラッキングや6DoFコントローラー、そこそこ高速な空間マッピングなど、期待の高まる状態である。デモ映像では、イイ感じの遮蔽も実現している。コントローラーについては、物理コントローラー以外にスマホアプリを使うことも可能である。	Magic Leap World	6DoF	片手6DoF	Inside-Out のため制限なし	筆者未体験	ハンドコントローラー（6DoF）\n視線追跡	Tegra X2	128GB（実使用可能なのは95GB）	?	-	?	Digital Lightfield 注視している箇所のみピントが合う。現実世界と同様の焦点感。	?	Soundfield Audio 3Dオーディオ対応スピーカー	4つのマイク内臓（ボイス用と環境音用）	ステレオミニ	$2,295	?	link:公式サイト,https://www.magicleap.com/		
HoloLens	augmented standalone winmr head6DoF	/images/headsets/HoloLens.jpg	スタンドアロン	Microsoft による MR ヘッドセット。現実世界に視差ありのバーチャル・オブジェクトを重畳できる。非常に優れたトラッキング技術を有しており、バーチャルオブジェクトが現実にほぼ完全に追従する。たまにロスが起きるらしいが持っていないのもあってか今だによくわからない。日本人 HoloLens 好きすぎ問題の HoloLens。	Windows Store	6DoF	AirTap の位置を取得	Inside-Out のため制限なし	○	Gaze\nAirTap\nBloom\nVoice	・Intel 32 bit CPU\n・Holographic Processing Unit 1.0	64GB	自動瞳孔距離補正	-	23 px	透過型ホログラフィック・レンズを用いた表示系	?	6つのスピーカー内臓	4つのマイク内臓	ステレオミニ	$3,000	¥333,800	link:公式サイト,https://www.microsoft.com/ja-jp/hololens		
Meta 2	augmented pc head6DoF	/images/headsets/Meta%202.jpg	PC接続	HoloLens と双璧を成す Meta の AR ヘッドセット2世代目。視野角が HoloLens の倍であることや、ハンドジェスチャーの多様さを売りにしており、業務系での実用的なヘッドセットであるとアピールしている。PC に接続して使用するタイプで、モバイルプロセッサの制約を受けない点も差別化ポイント。トラッキングの精度は HoloLens に及ばないらしい。 日本では @WheetTweet さんが Meta にどっぷりハマっており、ブログに実機の動作するキャプチャも含めた多くの情報がまとめられている（最下部の参考情報参照）	ストアなどは今のところ無い	6DoF	あり	Inside-Out のため制限なし（ケーブルの範囲）	筆者未体験	手によるインタラクション。掴む、触る、推したり引いたりができる	PC依存	-	?	-	20px?	"an off-axis optical engine to form images using a single-element half-silver mirror"	90度	4ユニット構成のサラウンドスピーカー	3つのマイク	?	$1,495	¥254,800	link:公式サイト,https://buy.metavision.com/#specifications	link:@WheetTweet さんのブログ,http://www.crossroad-tech.com/archive/category/Meta	
AceReal One	augmented standalone head3DoF	/images/headsets/AceReal%20One.png	スタンドアロン	日本のサン電子が発表した業務向け AR ヘッドセット。国内から両眼視差の AR ヘッドセットが出るのは初めてなのでは？\n「フィールド作業の現場で使用できるスマートグラス」をコンセプトとしている通り、ヘルメットと同時に使用できたり、IP54 の防塵・防滴性を持っていたり、書類の表示向けにディスプレイが縦長になっていたりと、よく考えられている印象。ヘッドトラックか音声入力により手を使わず操作できることを推している一方、タッチパッドや物理ボタンも搭載しており、柔軟に対応できそうな製品である。	Android ベース（専用のSDKが必要）	3DoF	なし	3DoFのためエリアなし	筆者未体験	音声コマンド、ヘッドトラッキング入力、タッチパネル、物理ボタン	Snapdragon 820	64GB	?	-	58.56px	720 × 900	29度	スピーカー内臓	マイク内蔵	ステレオミニ	-	¥599,400	link:公式サイト,https://acereal.jp/acereal_one/		
Project North Star	augmented pc head3DoF	/images/headsets/Project%20North%20Star.jpg	PC接続	ハンドトラッキングセンサーを開発してきた Leap Motion が突如発表した AR ヘッドセットのオープン実装。ハード、ソフトのソース（設計書）が公開され、これをベースとした AR システムを誰でも作れる。Leap Motion 自身が作成したサンプル実機動画（最下部の参考情報を参照）では、完全に滑らかな仮想オブジェクトへのインタラクションや遮蔽表現を見て取ることができる。量産ベースで100ドル以下と言われるハードウェアの安さ（製造コストかな？）も魅力。	ストアなどは今のところ無い	たぶん元の設計には無い	あり	手は部分的に180度	筆者未体験	Leap Motion 準拠の高精度ハンドトラッキングによる入力	PC依存	-	?	-	-	片目当たり1600 × 1440 @ 120fps	水平100度以上	たぶん元の設計には無い	たぶん元の設計には無い	たぶん元の設計には無い	量産ベースで100ドル以下（製造コスト？）	?	link:Engadget さんの記事,https://japanese.engadget.com/2018/04/10/leap-motion-ar-project-north-star/	link:Leap Motion Blog,http://blog.leapmotion.com/northstar/	
MIX	augmented pc steam head6DoF	/images/headsets/ANTVR%20MIX.jpg	PC接続	VR デバイス企業 ANTVR による AR ヘッドセット。従来より小さな機械で大きな視野を得られるのが大きな強み。 本体自身ではポジショントラッキングの仕組みを持たないが、NOLO や Vive Tracker を用いることで実現する。基本的には PC 接続の AR ヘッドセットだが、SteamVR のコンテンツに対応しており、多くがそのまま動作する / わずかな調整で AR コンテンツとして遊べる点をアピールしている。HoloLens などと同じく暗色が透過するので、背景を黒に変更するといった変更が想定されている。また、アイトラッキングの機材と組み合わせることも可能とされており、柔軟な拡張性を持ちながらも「視野の広い AR 空間提示装置」部分に特化した機材と言える。	SteamVR	追加機器（NOLO など）により対応	追加機器（NOLO など）により対応	使用するトラッキング機器に依存	筆者未体験	使用する追加危機に依存（6DoF コントローラーも使用可能）	PC依存	-	ソフトウェアで調整可	-	?	Dual-Channel Mixed Optics	96度	おそらく無し	内蔵	ステレオミニ	3DoF コントローラー付きの最安セットの価格\nKickstarter 期間：$499\n発売後：$649（予定）	?	link:公式サイト,https://mix.antvr.com/		
Mira Prism	augmented mobile smartphone head3DoF onehand3DoF	/images/headsets/Mira%20Prism.jpg	スマホ	スマートフォン専用の AR ヘッドセット。専用の SDK で iOS 用に AR アプリを作ることができる。ただ見られるというだけではなく、SDK の機能性によって差別化を図っている。P2P通信、通信相手へのファイル送信、AR を様子を第三者視点で確認できる Spectator Mode、マーカー認識による疑似的な 6DoF が可能であり、本体は小さいうえに見た目も良く、（未来の製品版は）99ドルというお手軽価格。ローコストで両眼視 AR 体験を作り出せる有望株である。	iOS（Unity 用 SDK を使用）	3DoF	片手3DoF	3DoFのためエリアなし	筆者未体験	ハンドコントローラー（3DoF）	スマートフォン依存	スマートフォン依存	アプリ側で調整可	-	スマートフォン依存	スマートフォン依存	60度	スマートフォンにスピーカー内蔵	スマートフォンにマイク内蔵	スマートフォンによってはヘッドフォン端子あり	量産モデル：$99（予定）\n開発キット：$250	?	link:公式サイト,https://www.mirareality.com/		
DreamGlass	augmented pc smartphone head3DoF	/images/headsets/DreamGlass.png	スマホ、PC両接続	安価でクロスプラットフォームな AR ヘッドセット。PC または Android スマートフォンに接続して、搭載したディスプレイに表示を行う。iOS 対応は開発中とのこと。頭のポジトラはないが、（恐らく外部オブジェクトの？）マーカーベースのポジショントラッキングを開発中らしいので、それが載ればそこそこ面白いことになりそう。赤外線ベースのハンドジェスチャー認識が搭載されており、HoloLens 的な操作が可能と考えられる。	Android ベース（Unity ベースの SDK を使用）	3DoF	ハンドジェスチャー認識	ポジショントラッキングなし	筆者未体験	ハンドジェスチャー認識	PC、スマホ依存	-	?	-	?	2.5K / 60fps	90度	-	内蔵	ステレオミニ	$399	?	link:公式サイト,https://www.dreamworldvision.com/		
